title,genres,keywords,overview
Avatar,action adventure sci-fi,alien planet future war,A marine enters a mission on an alien world and faces conflict between duty and conscience
Titanic,romance drama,ship iceberg tragedy,A young couple from different social classes fall in love aboard a doomed ocean liner
The Dark Knight,action crime drama,vigilante joker chaos,Gotham faces a criminal mastermind while Batman is pushed to his moral limits
Inception,sci-fi thriller mystery,dream mind heist,Skilled thieves enter dreams to steal ideas and attempt an impossible inception mission
Interstellar,sci-fi drama adventure,space time blackhole,Explorers travel through a wormhole to save humanity from ecological collapse
The Matrix,sci-fi action cyberpunk,simulation hacker rebellion,A hacker discovers reality is a simulation and joins a rebellion against machines
The Shawshank Redemption,drama crime,prison hope friendship,Two imprisoned men build a lasting friendship and find redemption over decades
Forrest Gump,drama romance,life journey history,A man with simple kindness influences major historical events while searching for love
Gladiator,action drama history,roman revenge arena,A betrayed general becomes a gladiator and seeks justice against a corrupt emperor
The Godfather,crime drama mafia,family power legacy,The son of a mafia patriarch is drawn into organized crime and power struggles
The Godfather Part II,crime drama mafia,legacy betrayal rise,Follows parallel stories of a young don rising and a son struggling to lead the family
Pulp Fiction,crime drama,nonlinear stories hitman,Interconnected criminal stories unfold in a stylish nonlinear narrative
Fight Club,drama thriller,identity rebellion consumerism,An office worker and a soap maker create an underground fight movement
The Lord of the Rings The Fellowship of the Ring,fantasy adventure,ring quest middle-earth,A hobbit begins a dangerous quest to destroy a powerful ring
The Lord of the Rings The Two Towers,fantasy adventure,war alliance middle-earth,Allies battle rising darkness while the ring bearer travels toward peril
The Lord of the Rings The Return of the King,fantasy adventure,final battle destiny,The final confrontation for middle-earth unfolds as heroes make their stand
Harry Potter and the Sorcerers Stone,fantasy adventure magic,wizard school friendship,A young wizard discovers his past and begins his journey at a magic school
Harry Potter and the Prisoner of Azkaban,fantasy adventure mystery,time travel prisoner,A dangerous fugitive appears as a young wizard uncovers hidden truths
The Avengers,action adventure superhero,team alien invasion,Earths mightiest heroes unite to stop a global threat from another realm
Iron Man,action adventure sci-fi,genius billionaire hero,A wealthy industrialist builds a suit of armor and becomes a superhero
Captain America The First Avenger,action adventure war,super soldier hydra,A soldier becomes a superhuman and fights against Nazi forces
Thor,action adventure fantasy,god hammer asgard,A powerful god is exiled to Earth and must learn humility
Black Panther,action adventure sci-fi,africa wakanda king,A king struggles with his role as leader of a technologically advanced nation
Spider-Man Homecoming,action adventure comedy,student hero mentor,A young superhero balances school life with his crime-fighting duties
Guardians of the Galaxy,action adventure comedy,space team raccoon,A group of misfits band together to stop a cosmic threat
Wonder Woman,action adventure fantasy,amazon warrior justice,An Amazon warrior leaves her home to fight in World War I
Justice League,action adventure superhero,team apocalypse,Earths greatest heroes unite to face an existential threat
Aquaman,action adventure fantasy,atlantis trident king,A half-human prince must embrace his destiny as king of Atlantis
Joker,crime drama thriller,clown chaos origin,A troubled comedian descends into madness and becomes a criminal mastermind
The Batman,action crime drama,dark knight detective,A detective investigates corruption in Gotham while facing his own demons
Dune,sci-fi adventure drama,desert planet spice,A young nobleman navigates political intrigue on a desert world
Blade Runner 2049,sci-fi thriller mystery,replicant identity,A blade runner uncovers secrets that challenge what it means to be human
Arrival,sci-fi drama mystery,alien language communication,A linguist works to communicate with extraterrestrial visitors
The Martian,sci-fi drama survival,astronaut stranded mars,An astronaut stranded on Mars must use science to survive and return home
Gravity,sci-fi thriller survival,space disaster rescue,An astronaut fights for survival after a catastrophic space accident
Mad Max Fury Road,action adventure dystopia,desert wasteland,A warrior helps a tyrant overthrow a desert empire
John Wick,action crime thriller,revenge assassin,A retired hitman seeks vengeance against those who wronged him
John Wick Chapter 2,action crime thriller,revenge assassin,A legendary assassin is pulled back into the underworld
John Wick Chapter 3 Parabellum,action crime thriller,revenge assassin,A fugitive assassin fights for survival against powerful enemies
The Wolf of Wall Street,crime drama comedy,stockbroker fraud,A young stockbroker rises to wealth through fraudulent schemes
The Social Network,drama biography,facebook founder,A group of friends create a social networking site that changes the world
Steve Jobs,drama biography,apple innovation,A look at the life of Apple co-founder Steve Jobs
Pirates of the Caribbean The Curse of the Black Pearl,action adventure fantasy,pirate curse treasure,A blacksmith joins a pirate crew to rescue a kidnapped governor
Pirates of the Caribbean Dead Mans Chest,action adventure fantasy,pirate kraken debt,A captain must pay his debt to Davy Jones while facing mythical threats
Pirates of the Caribbean At Worlds End,action adventure fantasy,pirate war freedom,Pirates unite to battle the East India Company and Davy Jones
Star Wars Episode IV A New Hope,sci-fi adventure space,rebellion empire jedi,A farm boy discovers his destiny in a galactic civil war
Star Wars Episode V The Empire Strikes Back,sci-fi adventure space,rebellion empire jedi,The rebellion faces defeat as the empire hunts the last hope
